Serial no;Year;City;Sport;Discipline;Athlete;Country;Gender;Event;Medal
800;1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;MOLTERER, Andreas;AUT;Men;Downhill;Bronze
801;1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;SAILER, Anton;AUT;Men;Downhill;Gold
802;1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;FELLAY, Raymond;SUI;Men;Downhill;Silver
803;1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;WHEELER, Lucile;CAN;Women;Downhill;Bronze
804;1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;BERTHOD, Madeleine;SUI;Women;Downhill;Gold
805;1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;DÄNZER, Frieda;SUI;Women;Downhill;Silver
806;1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;SCHUSTER, Walter;AUT;Men;Giant Slalom;Bronze
807;1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;SAILER, Anton;AUT;Men;Giant Slalom;Gold
808;1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;MOLTERER, Andreas;AUT;Men;Giant Slalom;Silver
809;1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;HOCHLEITNER, Dorothea;AUT;Women;Giant Slalom;Bronze
810;1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;REICHERT, Ossi;EUA;Women;Giant Slalom;Gold
811;1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;FRANDL, Josefine;AUT;Women;Giant Slalom;Silver
812;1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;SOLLANDER, Stig;SWE;Men;Slalom;Bronze
813;1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;SAILER, Anton;AUT;Men;Slalom;Gold
814;1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;IGAYA, Chiharu;JPN;Men;Slalom;Silver
815;1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;SIDOROVA, Yevgeniya;URS;Women;Slalom;Bronze
816;1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;COLLIARD, Renée;SUI;Women;Slalom;Gold
817;1956;Cortina d'Ampezzo;Skiing;Alpine Skiing;SCHÖPF, Regina;AUT;Women;Slalom;Silver
818;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;EDSTRÖM, Sonja;SWE;Women;10KM;Bronze
819;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;BARANOVA, Lyubov;URS;Women;10KM;Gold
820;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;YEROSHINA, Radya;URS;Women;10KM;Silver
821;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;KOLCHIN, Pavel;URS;Men;15KM;Bronze
822;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;BRENDEN, Hallgeir;NOR;Men;15KM;Gold
823;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;JERNBERG, Sixten;SWE;Men;15KM;Silver
824;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;KOLCHIN, Pavel;URS;Men;30KM Mass Start;Bronze
825;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;HAKULINEN, Veikko;FIN;Men;30KM Mass Start;Gold
826;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;JERNBERG, Sixten;SWE;Men;30KM Mass Start;Silver
827;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;EDSTRÖM, Sonja;SWE;Women;3X5KM Relay;Bronze
828;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;ERIKSSON, Anna Lisa;SWE;Women;3X5KM Relay;Bronze
829;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;JOHANSSON, Irma;SWE;Women;3X5KM Relay;Bronze
830;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;HIETAMIES, Mirja;FIN;Women;3X5KM Relay;Gold
831;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;POLKUNEN, Sirkka;FIN;Women;3X5KM Relay;Gold
832;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;RANTANEN, Siiri;FIN;Women;3X5KM Relay;Gold
833;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;BARANOVA, Lyubov;URS;Women;3X5KM Relay;Silver
834;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;KOLCHINA, Alevtina;URS;Women;3X5KM Relay;Silver
835;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;YEROSHINA, Radya;URS;Women;3X5KM Relay;Silver
836;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;JERNBERG, Sixten;SWE;Men;4X10KM Relay;Bronze
837;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;LARSSON, Lennart;SWE;Men;4X10KM Relay;Bronze
838;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;LARSSON, Per-Erik;SWE;Men;4X10KM Relay;Bronze
839;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;SAMUELSSON, Gunnar;SWE;Men;4X10KM Relay;Bronze
840;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;ANIKIN, Nikolay;URS;Men;4X10KM Relay;Gold
841;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;KOLCHIN, Pavel;URS;Men;4X10KM Relay;Gold
842;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;KOUZINE, Vladimir;URS;Men;4X10KM Relay;Gold
843;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;TERENTYEV, Fyodor;URS;Men;4X10KM Relay;Gold
844;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;HAKULINEN, Veikko;FIN;Men;4X10KM Relay;Silver
845;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;KIURU, August;FIN;Men;4X10KM Relay;Silver
846;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;KORTELAINEN, Jorma;FIN;Men;4X10KM Relay;Silver
847;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;VIITANEN, Arvo;FIN;Men;4X10KM Relay;Silver
848;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;TERENTYEV, Fyodor;URS;Men;50KM;Bronze
849;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;JERNBERG, Sixten;SWE;Men;50KM;Gold
850;1956;Cortina d'Ampezzo;Skiing;Cross Country Skiing;HAKULINEN, Veikko;FIN;Men;50KM;Silver
851;1956;Cortina d'Ampezzo;Skiing;Nordic Combined;GASIENICA-GRON, Franciszek;POL;Men;Individual;Bronze
852;1956;Cortina d'Ampezzo;Skiing;Nordic Combined;STENERSEN, Sverre;NOR;Men;Individual;Gold
853;1956;Cortina d'Ampezzo;Skiing;Nordic Combined;ERIKSSON, Bengt;SWE;Men;Individual;Silver
854;1956;Cortina d'Ampezzo;Skiing;Ski Jumping;GLASS, Harry;EUA;Men;K90 Individual (70M);Bronze
855;1956;Cortina d'Ampezzo;Skiing;Ski Jumping;HYVÄRINEN, Antti;FIN;Men;K90 Individual (70M);Gold
856;1956;Cortina d'Ampezzo;Skiing;Ski Jumping;KALLAKORPI, Aulis;FIN;Men;K90 Individual (70M);Silver
857;1960;Squaw Valley;Biathlon;Biathlon;PRIVALOV, Aleksandr;URS;Men;20KM;Bronze
858;1960;Squaw Valley;Biathlon;Biathlon;LESTANDER, Klas;SWE;Men;20KM;Gold
859;1960;Squaw Valley;Biathlon;Biathlon;TYRVÄINEN, Antti;FIN;Men;20KM;Silver
860;1960;Squaw Valley;Ice Hockey;Ice Hockey;ALEKSANDROV, Veniamin;URS;Men;Ice Hockey;Bronze
861;1960;Squaw Valley;Ice Hockey;Ice Hockey;ALMETOV, Aleksandr;URS;Men;Ice Hockey;Bronze
862;1960;Squaw Valley;Ice Hockey;Ice Hockey;BAULIN, Yuri;URS;Men;Ice Hockey;Bronze
863;1960;Squaw Valley;Ice Hockey;Ice Hockey;BYCHKOV, Mikhail;URS;Men;Ice Hockey;Bronze
864;1960;Squaw Valley;Ice Hockey;Ice Hockey;GREBENNIKOV, Vladimir;URS;Men;Ice Hockey;Bronze
865;1960;Squaw Valley;Ice Hockey;Ice Hockey;GROSHEV, Evgeni;URS;Men;Ice Hockey;Bronze
866;1960;Squaw Valley;Ice Hockey;Ice Hockey;KARPOV, Nikolaï;URS;Men;Ice Hockey;Bronze
867;1960;Squaw Valley;Ice Hockey;Ice Hockey;KUCHEVSKIY, Alfred;URS;Men;Ice Hockey;Bronze
868;1960;Squaw Valley;Ice Hockey;Ice Hockey;LOKTEV, Konstantin;URS;Men;Ice Hockey;Bronze
869;1960;Squaw Valley;Ice Hockey;Ice Hockey;PETUKHOV, Stanislav;URS;Men;Ice Hockey;Bronze
870;1960;Squaw Valley;Ice Hockey;Ice Hockey;PRYAZHNIKOV, Viktor;URS;Men;Ice Hockey;Bronze
871;1960;Squaw Valley;Ice Hockey;Ice Hockey;PUCHKOV, Nikolaï;URS;Men;Ice Hockey;Bronze
872;1960;Squaw Valley;Ice Hockey;Ice Hockey;SIDORENKOV, Genrikh;URS;Men;Ice Hockey;Bronze
873;1960;Squaw Valley;Ice Hockey;Ice Hockey;SOLOGUBOV, Nikolaï;URS;Men;Ice Hockey;Bronze
874;1960;Squaw Valley;Ice Hockey;Ice Hockey;TSITSINOV, Yuri;URS;Men;Ice Hockey;Bronze
875;1960;Squaw Valley;Ice Hockey;Ice Hockey;YAKUSHEV, Viktor;URS;Men;Ice Hockey;Bronze
876;1960;Squaw Valley;Ice Hockey;Ice Hockey;YERKIN, Evgeni;URS;Men;Ice Hockey;Bronze
877;1960;Squaw Valley;Ice Hockey;Ice Hockey;CHRISTIAN, Roger Allen;USA;Men;Ice Hockey;Gold
878;1960;Squaw Valley;Ice Hockey;Ice Hockey;CHRISTIAN, William David;USA;Men;Ice Hockey;Gold
879;1960;Squaw Valley;Ice Hockey;Ice Hockey;CLEARY, Robert Barry;USA;Men;Ice Hockey;Gold
880;1960;Squaw Valley;Ice Hockey;Ice Hockey;CLEARY, William John;USA;Men;Ice Hockey;Gold
881;1960;Squaw Valley;Ice Hockey;Ice Hockey;GRAZIA, Eugene;USA;Men;Ice Hockey;Gold
882;1960;Squaw Valley;Ice Hockey;Ice Hockey;JOHNSON, Paul Herbert;USA;Men;Ice Hockey;Gold
883;1960;Squaw Valley;Ice Hockey;Ice Hockey;KIRRANE, John J.;USA;Men;Ice Hockey;Gold
884;1960;Squaw Valley;Ice Hockey;Ice Hockey;MAYASICH, John Edward;USA;Men;Ice Hockey;Gold
885;1960;Squaw Valley;Ice Hockey;Ice Hockey;MCCARTAN, John;USA;Men;Ice Hockey;Gold
886;1960;Squaw Valley;Ice Hockey;Ice Hockey;MCVEY, Robert;USA;Men;Ice Hockey;Gold
887;1960;Squaw Valley;Ice Hockey;Ice Hockey;MEREDITH, Richard Otis;USA;Men;Ice Hockey;Gold
888;1960;Squaw Valley;Ice Hockey;Ice Hockey;OLSON, Weldon Howard;USA;Men;Ice Hockey;Gold
889;1960;Squaw Valley;Ice Hockey;Ice Hockey;OWEN, Edwyn;USA;Men;Ice Hockey;Gold
890;1960;Squaw Valley;Ice Hockey;Ice Hockey;PAAVOLA, Rodney;USA;Men;Ice Hockey;Gold
891;1960;Squaw Valley;Ice Hockey;Ice Hockey;PALMER, Lawrence;USA;Men;Ice Hockey;Gold
892;1960;Squaw Valley;Ice Hockey;Ice Hockey;RODENHEISER, Richard Peter;USA;Men;Ice Hockey;Gold
893;1960;Squaw Valley;Ice Hockey;Ice Hockey;WILLIAMS, Thomas;USA;Men;Ice Hockey;Gold
894;1960;Squaw Valley;Ice Hockey;Ice Hockey;ATTERSLEY, Robert;CAN;Men;Ice Hockey;Silver
895;1960;Squaw Valley;Ice Hockey;Ice Hockey;BENOIT, Maurice;CAN;Men;Ice Hockey;Silver
896;1960;Squaw Valley;Ice Hockey;Ice Hockey;CONNELLY, James;CAN;Men;Ice Hockey;Silver
897;1960;Squaw Valley;Ice Hockey;Ice Hockey;DOUGLAS, Jack;CAN;Men;Ice Hockey;Silver
898;1960;Squaw Valley;Ice Hockey;Ice Hockey;ETCHER, Fred;CAN;Men;Ice Hockey;Silver
899;1960;Squaw Valley;Ice Hockey;Ice Hockey;FORHAN, Robert;CAN;Men;Ice Hockey;Silver
900;1960;Squaw Valley;Ice Hockey;Ice Hockey;HEAD, Donald Charles;CAN;Men;Ice Hockey;Silver
901;1960;Squaw Valley;Ice Hockey;Ice Hockey;HURLEY, Harold;CAN;Men;Ice Hockey;Silver
902;1960;Squaw Valley;Ice Hockey;Ice Hockey;LAUFMAN, Kenneth;CAN;Men;Ice Hockey;Silver
903;1960;Squaw Valley;Ice Hockey;Ice Hockey;MARTIN, Floyd;CAN;Men;Ice Hockey;Silver
904;1960;Squaw Valley;Ice Hockey;Ice Hockey;MCKNIGHT, Robert;CAN;Men;Ice Hockey;Silver
905;1960;Squaw Valley;Ice Hockey;Ice Hockey;PENNINGTON, Clifford;CAN;Men;Ice Hockey;Silver
906;1960;Squaw Valley;Ice Hockey;Ice Hockey;ROPE, Donald;CAN;Men;Ice Hockey;Silver
907;1960;Squaw Valley;Ice Hockey;Ice Hockey;ROUSSEAU, Robert;CAN;Men;Ice Hockey;Silver
908;1960;Squaw Valley;Ice Hockey;Ice Hockey;SAMOLENKO, George;CAN;Men;Ice Hockey;Silver
909;1960;Squaw Valley;Ice Hockey;Ice Hockey;SINDEN, Harry;CAN;Men;Ice Hockey;Silver
910;1960;Squaw Valley;Ice Hockey;Ice Hockey;SLY, Darryl Hayward;CAN;Men;Ice Hockey;Silver
911;1960;Squaw Valley;Skating;Figure skating;JACKSON, Donald;CAN;Men;Individual;Bronze
912;1960;Squaw Valley;Skating;Figure skating;JENKINS, David;USA;Men;Individual;Gold
913;1960;Squaw Valley;Skating;Figure skating;DIVIN, Karol;TCH;Men;Individual;Silver
914;1960;Squaw Valley;Skating;Figure skating;ROLES, Barbara;USA;Women;Individual;Bronze
915;1960;Squaw Valley;Skating;Figure skating;HEISS, Carol;USA;Women;Individual;Gold
916;1960;Squaw Valley;Skating;Figure skating;DIJKSTRA, Sjoukje;NED;Women;Individual;Silver
917;1960;Squaw Valley;Skating;Figure skating;LUDINGTON, Nancy;USA;Women;Pairs;Bronze
918;1960;Squaw Valley;Skating;Figure skating;LUDINGTON, Ronald;USA;Men;Pairs;Bronze
919;1960;Squaw Valley;Skating;Figure skating;PAUL, Robert;CAN;Men;Pairs;Gold
920;1960;Squaw Valley;Skating;Figure skating;WAGNER, Barbara;CAN;Women;Pairs;Gold
921;1960;Squaw Valley;Skating;Figure skating;BÄUMLER, Hans Jürgen;EUA;Men;Pairs;Silver
922;1960;Squaw Valley;Skating;Figure skating;KILIUS, Marika;EUA;Women;Pairs;Silver
923;1960;Squaw Valley;Skating;Speed skating;BÄCKMAN, Kjell;SWE;Men;10000M;Bronze
924;1960;Squaw Valley;Skating;Speed skating;JOHANNESEN, Knut;NOR;Men;10000M;Gold
925;1960;Squaw Valley;Skating;Speed skating;KOSICHKIN, Viktor;URS;Men;10000M;Silver
926;1960;Squaw Valley;Skating;Speed skating;RYLOVA, Tamara;URS;Women;1000M;Bronze
927;1960;Squaw Valley;Skating;Speed skating;GUSEVA, Klara;URS;Women;1000M;Gold
928;1960;Squaw Valley;Skating;Speed skating;HAASE, Helga;EUA;Women;1000M;Silver
929;1960;Squaw Valley;Skating;Speed skating;STENIN, Boris;URS;Men;1500M;Bronze
930;1960;Squaw Valley;Skating;Speed skating;AAS, Roald;NOR;Men;1500M;Gold
931;1960;Squaw Valley;Skating;Speed skating;GRISHIN, Yevgeny;URS;Men;1500M;Gold
932;1960;Squaw Valley;Skating;Speed skating;PILEJCZYK, Helena;POL;Women;1500M;Bronze
933;1960;Squaw Valley;Skating;Speed skating;SKOBLIKOVA, Lidiya;URS;Women;1500M;Gold
934;1960;Squaw Valley;Skating;Speed skating;SEROCZYNSKA, Elwira;POL;Women;1500M;Silver
935;1960;Squaw Valley;Skating;Speed skating;HUTTUNEN, Eevi;FIN;Women;3000M;Bronze
936;1960;Squaw Valley;Skating;Speed skating;SKOBLIKOVA, Lidiya;URS;Women;3000M;Gold
937;1960;Squaw Valley;Skating;Speed skating;STENINA, Valentina;URS;Women;3000M;Silver
938;1960;Squaw Valley;Skating;Speed skating;PESMAN, Janis;NED;Men;5000M;Bronze
939;1960;Squaw Valley;Skating;Speed skating;KOSICHKIN, Viktor;URS;Men;5000M;Gold
940;1960;Squaw Valley;Skating;Speed skating;JOHANNESEN, Knut;NOR;Men;5000M;Silver
941;1960;Squaw Valley;Skating;Speed skating;GRACH, Rafael;URS;Men;500M;Bronze
942;1960;Squaw Valley;Skating;Speed skating;GRISHIN, Yevgeny;URS;Men;500M;Gold
943;1960;Squaw Valley;Skating;Speed skating;DISNEY, William;USA;Men;500M;Silver
944;1960;Squaw Valley;Skating;Speed skating;ASHWORTH, Jeanne;USA;Women;500M;Bronze
945;1960;Squaw Valley;Skating;Speed skating;HAASE, Helga;EUA;Women;500M;Gold
946;1960;Squaw Valley;Skating;Speed skating;DONCHENKO, Natalya;URS;Women;500M;Silver
947;1960;Squaw Valley;Skiing;Alpine Skiing;PÉRILLAT, Guy;FRA;Men;Downhill;Bronze
948;1960;Squaw Valley;Skiing;Alpine Skiing;VUARNET, Jean;FRA;Men;Downhill;Gold
949;1960;Squaw Valley;Skiing;Alpine Skiing;LANIG, Hanspeter;EUA;Men;Downhill;Silver
950;1960;Squaw Valley;Skiing;Alpine Skiing;HECHER, Traudl;AUT;Women;Downhill;Bronze
951;1960;Squaw Valley;Skiing;Alpine Skiing;BIEBL, Heidi;EUA;Women;Downhill;Gold
952;1960;Squaw Valley;Skiing;Alpine Skiing;PITOU, Penelope;USA;Women;Downhill;Silver
953;1960;Squaw Valley;Skiing;Alpine Skiing;HINTERSEER, Ernst;AUT;Men;Giant Slalom;Bronze
954;1960;Squaw Valley;Skiing;Alpine Skiing;STAUB, Roger;SUI;Men;Giant Slalom;Gold
955;1960;Squaw Valley;Skiing;Alpine Skiing;STIEGLER, Josef;AUT;Men;Giant Slalom;Silver
956;1960;Squaw Valley;Skiing;Alpine Skiing;MINUZZO CHENAL, Giuliana;ITA;Women;Giant Slalom;Bronze
957;1960;Squaw Valley;Skiing;Alpine Skiing;RUEGG, Yvonne;SUI;Women;Giant Slalom;Gold
958;1960;Squaw Valley;Skiing;Alpine Skiing;PITOU, Penelope;USA;Women;Giant Slalom;Silver
959;1960;Squaw Valley;Skiing;Alpine Skiing;BOZON, Charles;FRA;Men;Slalom;Bronze
960;1960;Squaw Valley;Skiing;Alpine Skiing;HINTERSEER, Ernst;AUT;Men;Slalom;Gold
961;1960;Squaw Valley;Skiing;Alpine Skiing;LEITNER, Matthias;AUT;Men;Slalom;Silver
962;1960;Squaw Valley;Skiing;Alpine Skiing;HENNEBERGER, Barbi;EUA;Women;Slalom;Bronze
963;1960;Squaw Valley;Skiing;Alpine Skiing;HEGGTVEIT, Anne;CAN;Women;Slalom;Gold
964;1960;Squaw Valley;Skiing;Alpine Skiing;SNITE, Betsy;USA;Women;Slalom;Silver
965;1960;Squaw Valley;Skiing;Cross Country Skiing;YEROSHINA, Radya;URS;Women;10KM;Bronze
966;1960;Squaw Valley;Skiing;Cross Country Skiing;GUSAKOVA, Mariya;URS;Women;10KM;Gold
967;1960;Squaw Valley;Skiing;Cross Country Skiing;BARANOVA, Lyubov;URS;Women;10KM;Silver
968;1960;Squaw Valley;Skiing;Cross Country Skiing;HAKULINEN, Veikko;FIN;Men;15KM;Bronze
969;1960;Squaw Valley;Skiing;Cross Country Skiing;BRUSVEEN, Haakon;NOR;Men;15KM;Gold
970;1960;Squaw Valley;Skiing;Cross Country Skiing;JERNBERG, Sixten;SWE;Men;15KM;Silver
971;1960;Squaw Valley;Skiing;Cross Country Skiing;ANIKIN, Nikolay;URS;Men;30KM Mass Start;Bronze
972;1960;Squaw Valley;Skiing;Cross Country Skiing;JERNBERG, Sixten;SWE;Men;30KM Mass Start;Gold
973;1960;Squaw Valley;Skiing;Cross Country Skiing;RÄMGARD, Rolf;SWE;Men;30KM Mass Start;Silver
974;1960;Squaw Valley;Skiing;Cross Country Skiing;PÖYSTI, Toini K.;FIN;Women;3X5KM Relay;Bronze
975;1960;Squaw Valley;Skiing;Cross Country Skiing;RANTANEN, Siiri;FIN;Women;3X5KM Relay;Bronze
976;1960;Squaw Valley;Skiing;Cross Country Skiing;RUOPPA, Eeva;FIN;Women;3X5KM Relay;Bronze
977;1960;Squaw Valley;Skiing;Cross Country Skiing;EDSTRÖM, Sonja;SWE;Women;3X5KM Relay;Gold
978;1960;Squaw Valley;Skiing;Cross Country Skiing;JOHANSSON, Irma;SWE;Women;3X5KM Relay;Gold
979;1960;Squaw Valley;Skiing;Cross Country Skiing;STRANDBERG, Britt;SWE;Women;3X5KM Relay;Gold
980;1960;Squaw Valley;Skiing;Cross Country Skiing;BARANOVA, Lyubov;URS;Women;3X5KM Relay;Silver
981;1960;Squaw Valley;Skiing;Cross Country Skiing;GUSAKOVA, Mariya;URS;Women;3X5KM Relay;Silver
982;1960;Squaw Valley;Skiing;Cross Country Skiing;YEROSHINA, Radya;URS;Women;3X5KM Relay;Silver
983;1960;Squaw Valley;Skiing;Cross Country Skiing;ANIKIN, Nikolay;URS;Men;4X10KM Relay;Bronze
984;1960;Squaw Valley;Skiing;Cross Country Skiing;KUZNETSOV, Aleksei;URS;Men;4X10KM Relay;Bronze
985;1960;Squaw Valley;Skiing;Cross Country Skiing;SHELJUKHIN, Anatolii;URS;Men;4X10KM Relay;Bronze
986;1960;Squaw Valley;Skiing;Cross Country Skiing;VAGANOV, Gennadi;URS;Men;4X10KM Relay;Bronze
987;1960;Squaw Valley;Skiing;Cross Country Skiing;ALATALO, Toimi;FIN;Men;4X10KM Relay;Gold
988;1960;Squaw Valley;Skiing;Cross Country Skiing;HAKULINEN, Veikko;FIN;Men;4X10KM Relay;Gold
989;1960;Squaw Valley;Skiing;Cross Country Skiing;HUHTALA, Väinö Veikko Sakari;FIN;Men;4X10KM Relay;Gold
990;1960;Squaw Valley;Skiing;Cross Country Skiing;MÄNTYRANTA, Eero;FIN;Men;4X10KM Relay;Gold
991;1960;Squaw Valley;Skiing;Cross Country Skiing;BRENDEN, Hallgeir;NOR;Men;4X10KM Relay;Silver
992;1960;Squaw Valley;Skiing;Cross Country Skiing;BRUSVEEN, Haakon;NOR;Men;4X10KM Relay;Silver
993;1960;Squaw Valley;Skiing;Cross Country Skiing;GRÖNNINGEN, Harald;NOR;Men;4X10KM Relay;Silver
994;1960;Squaw Valley;Skiing;Cross Country Skiing;ÖSTBY, Einar;NOR;Men;4X10KM Relay;Silver
995;1960;Squaw Valley;Skiing;Cross Country Skiing;RÄMGARD, Rolf;SWE;Men;50KM;Bronze
996;1960;Squaw Valley;Skiing;Cross Country Skiing;HÄMÄLÄINEN, Kalevi;FIN;Men;50KM;Gold
997;1960;Squaw Valley;Skiing;Cross Country Skiing;HAKULINEN, Veikko;FIN;Men;50KM;Silver
998;1960;Squaw Valley;Skiing;Nordic Combined;GUSAKOV, Nikolay;URS;Men;Individual;Bronze
999;1960;Squaw Valley;Skiing;Nordic Combined;THOMA, Georg;EUA;Men;Individual;Gold
1000;1960;Squaw Valley;Skiing;Nordic Combined;KNUTSEN, Tormod;NOR;Men;Individual;Silver
1001;1960;Squaw Valley;Skiing;Ski Jumping;LEODOLTER, Otto;AUT;Men;K90 Individual (70M);Bronze
1002;1960;Squaw Valley;Skiing;Ski Jumping;RECKNAGEL, Helmut;EUA;Men;K90 Individual (70M);Gold
1003;1960;Squaw Valley;Skiing;Ski Jumping;HALONEN, Niilo;FIN;Men;K90 Individual (70M);Silver
1004;1964;Innsbruck;Biathlon;Biathlon;JORDET, Olav;NOR;Men;20KM;Bronze
1005;1964;Innsbruck;Biathlon;Biathlon;MELANIN, Vladimir;URS;Men;20KM;Gold
1006;1964;Innsbruck;Biathlon;Biathlon;PRIVALOV, Aleksandr;URS;Men;20KM;Silver
1007;1964;Innsbruck;Bobsleigh;Bobsleigh;MONTI, Eugenio;ITA;Men;Four-Man;Bronze
1008;1964;Innsbruck;Bobsleigh;Bobsleigh;RIGONI, Benito;ITA;Men;Four-Man;Bronze
1009;1964;Innsbruck;Bobsleigh;Bobsleigh;SIORPAES, Gildo;ITA;Men;Four-Man;Bronze
1010;1964;Innsbruck;Bobsleigh;Bobsleigh;SIORPAES, Sergio;ITA;Men;Four-Man;Bronze
1011;1964;Innsbruck;Bobsleigh;Bobsleigh;ANAKIN, Douglas;CAN;Men;Four-Man;Gold
1012;1964;Innsbruck;Bobsleigh;Bobsleigh;EMERY, John;CAN;Men;Four-Man;Gold
1013;1964;Innsbruck;Bobsleigh;Bobsleigh;EMERY, Victor;CAN;Men;Four-Man;Gold
1014;1964;Innsbruck;Bobsleigh;Bobsleigh;KIRBY, Peter;CAN;Men;Four-Man;Gold
1015;1964;Innsbruck;Bobsleigh;Bobsleigh;DURNTHALER, Reinhold;AUT;Men;Four-Man;Silver
1016;1964;Innsbruck;Bobsleigh;Bobsleigh;KOXEDER, Adolf;AUT;Men;Four-Man;Silver
1017;1964;Innsbruck;Bobsleigh;Bobsleigh;NAIRZ, Josef;AUT;Men;Four-Man;Silver
1018;1964;Innsbruck;Bobsleigh;Bobsleigh;THALER, Erwin;AUT;Men;Four-Man;Silver
1019;1964;Innsbruck;Bobsleigh;Bobsleigh;MONTI, Eugenio;ITA;Men;Two-Man;Bronze
1020;1964;Innsbruck;Bobsleigh;Bobsleigh;SIORPAES, Sergio;ITA;Men;Two-Man;Bronze
1021;1964;Innsbruck;Bobsleigh;Bobsleigh;DIXON, Robin Thomas;GBR;Men;Two-Man;Gold
1022;1964;Innsbruck;Bobsleigh;Bobsleigh;NASH, Antony James;GBR;Men;Two-Man;Gold
1023;1964;Innsbruck;Bobsleigh;Bobsleigh;BONAGURA, Romano;ITA;Men;Two-Man;Silver
1024;1964;Innsbruck;Bobsleigh;Bobsleigh;ZARDINI, Sergio;ITA;Men;Two-Man;Silver
1025;1964;Innsbruck;Ice Hockey;Ice Hockey;BUBNIK, Vlastimil;TCH;Men;Ice Hockey;Bronze
1026;1964;Innsbruck;Ice Hockey;Ice Hockey;CERNY, Josef;TCH;Men;Ice Hockey;Bronze
1027;1964;Innsbruck;Ice Hockey;Ice Hockey;DOLANA, Jiri;TCH;Men;Ice Hockey;Bronze
1028;1964;Innsbruck;Ice Hockey;Ice Hockey;DZURILLA, Vladimir;TCH;Men;Ice Hockey;Bronze
1029;1964;Innsbruck;Ice Hockey;Ice Hockey;GOLONKA, Josef;TCH;Men;Ice Hockey;Bronze
1030;1964;Innsbruck;Ice Hockey;Ice Hockey;GREGOR, Frantisek;TCH;Men;Ice Hockey;Bronze
1031;1964;Innsbruck;Ice Hockey;Ice Hockey;HOLIK, Jiri;TCH;Men;Ice Hockey;Bronze
1032;1964;Innsbruck;Ice Hockey;Ice Hockey;JIRIK, Jaroslav;TCH;Men;Ice Hockey;Bronze
1033;1964;Innsbruck;Ice Hockey;Ice Hockey;KLAPAC, Jan;TCH;Men;Ice Hockey;Bronze
1034;1964;Innsbruck;Ice Hockey;Ice Hockey;NADRCHAL, Vladimir;TCH;Men;Ice Hockey;Bronze
1035;1964;Innsbruck;Ice Hockey;Ice Hockey;POTSCH, Rudolf;TCH;Men;Ice Hockey;Bronze
1036;1964;Innsbruck;Ice Hockey;Ice Hockey;PRYL, Stanislav;TCH;Men;Ice Hockey;Bronze
1037;1964;Innsbruck;Ice Hockey;Ice Hockey;SMID, Ladislav;TCH;Men;Ice Hockey;Bronze
